time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
0.0,11.0,1.0909090909090908,4.363636363636363,266.3238182794968,11.096825761645698,41.8264,85.32585599999999,20.686215866579555,2.047820544,0.1187341242492677,32.02561505694766,1.334400627372819,1.6675425820019425,1.5574847715898144,0.11005781041212814,4.667542582001943,17.542000626779814,21.0,2.1642523164620866,52.63526767813238,46.14106090311337,7.3040958869951655,64.01649148359961,0.0,1.3324574179980575,warning,low,low,0.24312263890185193,False,False,
0.0833,11.0,1.0909090909090908,4.363636363636363,260.13639961421677,10.839016650592365,41.78058432005461,85.23239201291139,20.755419144228842,2.0455774083098732,0.11845700637725165,35.74148809189606,1.4892286704956692,1.8548193936199628,1.7324013136410454,0.1224180799789174,4.854819393619962,17.38824007794997,21.0,2.0890930521501025,54.52892578564522,47.76022903326534,7.2919889476777415,63.97903612127601,0.0,1.1451806063800372,warning,low,low,0.23282453210880333,False,False,
0.1667,11.0,1.0909090909090908,4.363636363636363,259.5755976443386,10.815649901847442,41.73497762087018,85.13935434657516,20.760581677522147,2.043344504317804,0.11818119273150934,36.11791387272756,1.504913078030315,1.8738880705153833,1.7502114578613681,0.1236766126540152,4.873888070515383,17.37717924396963,21.0,2.082193542866076,54.7096115970075,47.91431328500678,7.290860447299375,63.97522238589692,0.0,1.1261119294846167,warning,low,low,0.23205629798777566,False,False,
0.25,11.0,1.0909090909090908,4.363636363636363,259.6783777243607,10.819932405181696,41.68957886213117,85.04674087874758,20.758163157523462,2.041121781089942,0.11790667720603025,36.10150950694416,1.50422956278934,1.8732551971352824,1.7496203541243538,0.12363484301092864,4.873255197135283,17.3829544298559,21.0,2.083303191665035,54.68047111709895,47.88893067013567,7.291042142131438,63.975348960572944,0.0,1.1267448028647176,warning,low,low,0.23241619679710368,False,False,
0.3333,11.0,1.0909090909090908,4.363636363636363,259.85872281863846,10.827446784109936,41.64438700917818,84.9545494987235,20.754857816386313,2.038909187969364,0.11763345371787431,36.03921231042189,1.5016338462675787,1.8703204983943613,1.7468793455003335,0.1234411528940278,4.870320498394362,17.390701274671017,21.0,2.085348869471051,54.62683087117927,47.84259401756244,7.29137690403207,63.975935900321126,0.0,1.1296795016056387,warning,low,low,0.2329080630377513,False,False,
0.4167,11.0,1.0909090909090908,4.363636363636363,260.04759436053524,10.835316431688968,41.59940103297468,84.86277810726835,20.75145754022794,2.0367066745744404,0.11736151620717965,35.97177920275264,1.4988241334480268,1.8671268266631293,1.743896456103363,0.12323037055976638,4.86712682666313,17.398660761396023,21.0,2.0874980127669747,54.57059087160737,47.794035720339274,7.291728319663058,63.97657463466737,0.0,1.1328731733368707,warning,low,low,0.23341405651369965,False,False,
0.5,11.0,1.0909090909090908,4.363636363636363,260.23687843195324,10.843203267998051,41.55461991007371,84.77142461655036,20.74805577347773,2.034514190797209,0.11709085863716663,35.90398680098498,1.495999450041041,1.8639135897235644,1.740895292801809,0.12301829692175525,4.863913589723564,17.406625122464597,21.0,2.0896527974863814,54.514319382161574,47.74545267267975,7.292080372504953,63.977217282055285,0.0,1.1360864102764356,warning,low,low,0.23392027180390915,False,False,
0.5833,11.0,1.0909090909090908,4.363636363636363,260.4256248994102,10.85106770414209,41.51004262258497,84.68048695007333,20.744663499800712,2.03233168680176,0.11682147499414196,35.83639296485009,1.4931830402020871,1.860708757457305,1.737901979465123,0.12280677799218198,4.860708757457305,17.414569893932814,21.0,2.091801767607616,54.4583152017723,47.69710046928511,7.29243119134543,63.97785824850854,0.0,1.139291242542695,warning,low,low,0.23442507443441798,False,False,
0.6667,11.0,1.0909090909090908,4.363636363636363,260.61372410301175,10.858905170958822,41.46566815814192,84.58996304260953,20.741281989248066,2.030159113022629,0.11655335928749995,35.769061995271606,1.4903775831363169,1.8575155638451424,1.734919536631363,0.12259602721377938,4.857515563845142,17.4224922243095,21.0,2.093943597798193,54.40261147424603,47.64900745163177,7.292780562843804,63.978496887230975,0.0,1.1424844361548576,warning,low,low,0.23492827540951405,False,False,
0.75,11.0,1.0909090909090908,4.363636363636363,260.8011647717896,10.866715198824567,41.42149550986936,84.49985084013348,20.737911370178338,2.0279964201632033,0.11628650554972324,35.702000578984006,1.487583357457667,1.8543343553786389,1.7319482879236487,0.12238606745499014,4.854334355378639,17.430391804771954,21.0,2.0960781484289956,54.347210329624254,47.60117542933171,7.293128467514359,63.979133128924275,0.0,1.1456656446213611,warning,low,low,0.23542985562822327,False,False,
