time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
0.0,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.45714168706814,280.37142506120443,12.805994582047438,5.046685651101679,0.7534661294127999,156.11132610922868,7.805566305461435,13.897156571814444,10.728604873440752,3.168551698373692,18.897156571814442,34.51484239220183,90.0,1.4548605512907093,71.18207989633414,47.52196614332181,7.203769058947394,38.69545291670494,0.0,0.0,warning,critical,low,3.8675264360991473,True,False,peak pressure unsafe threshold exceeded
0.0333,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.44309667611094,280.3292900283328,9.785668344025094,5.0459272205099905,0.7534340722516012,275.9655419037661,13.798277095188306,30.0,23.16,6.84,35.0,55.43805215635736,90.0,0.3991269439236269,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.362155355422448,True,False,auto-PEEP display capped at 30 cmH2O; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.0667,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.42906494561429,280.28719483684284,7.4670672820835895,5.045169507063171,0.7534020371405845,367.97352055223865,18.398676027611934,30.0,23.16,6.84,35.0,61.784277206109834,90.0,0.3377041794188894,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.822195248664812,True,False,auto-PEEP display capped at 30 cmH2O; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.1,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.41504646695365,280.245139400861,6.3,5.044412509215498,0.7533700240346602,438.5958524969986,21.92979262484993,30.0,23.16,6.84,35.0,65.0,90.0,0.33295835871220164,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.1333,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.40104121149528,280.20312363448585,6.3,5.043656225420745,0.7533380328886444,492.7948712464482,24.639743562322412,30.0,23.16,6.84,35.0,65.0,90.0,0.32931618465223855,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.1667,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.38704915059606,280.16114745178817,6.3,5.042900654132187,0.7533060636572585,534.3819573239078,26.71909786619539,30.0,23.16,6.84,35.0,65.0,90.0,0.3265215324678333,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.2,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.37307025560342,280.1192107668103,6.3,5.042145793802585,0.7532741162951295,566.2843707788988,28.314218538944942,30.0,23.16,6.84,35.0,65.0,90.0,0.3243776902836579,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.2333,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.35910449785524,280.0773134935657,6.3,5.041391642884182,0.7532421907567893,590.7502495036565,29.537512475182826,30.0,23.16,6.84,35.0,65.0,90.0,0.3227335832333542,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.2667,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.3451518486798,280.03545554603943,6.3,5.0406381998287095,0.7532102869966752,609.5060961155389,30.475304805776943,30.0,23.16,6.84,35.0,65.0,90.0,0.3214731903410357,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.3,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.33121227939563,279.9936368381869,6.3,5.039885463087364,0.7531784049691289,623.8777600320369,31.193888001601845,30.0,23.16,6.84,35.0,65.0,90.0,0.320507414525847,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.3333,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.31728576131141,279.95185728393426,6.3,5.039133431110816,0.7531465446283968,634.8833726702737,31.744168633513688,30.0,23.16,6.84,35.0,65.0,90.0,0.31976783735655756,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.3667,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.30337226572593,279.9101167971778,6.3,5.0383821023492,0.7531147059286297,643.3047349213425,32.16523674606712,30.0,23.16,6.84,35.0,65.0,90.0,0.3192019218132857,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
0.4,28.0,0.7142857142857143,1.4285714285714284,200.0,10.0,93.28947176392792,279.8684152917838,6.3,5.037631475252107,0.7530828888238831,649.7421507030078,32.48710753515039,30.0,23.16,6.84,35.0,65.0,90.0,0.3187693274727578,180.0,108.576,6.947389836793842,18.0,0.0,0.0,critical,critical,critical,10.982327645903618,True,False,auto-PEEP display capped at 30 cmH2O; plateau pressure unsafe threshold exceeded; peak pressure unsafe threshold exceeded; critical gas-exchange threshold exceeded
