rr_bpm,max_autopeep_cmH2O,max_pplat_cmH2O,max_paco2_mmHg,min_map_mmHg
6,0.73,10.23,154.2,59.32
8,1.47,11.03,118.5,60.4
10,2.36,12.06,97.6,61.21
12,3.36,13.23,90.0,61.23
14,4.46,14.51,84.8,60.74
16,5.65,15.89,81.1,60.09
18,6.93,17.38,78.6,59.3
20,8.3,18.97,77.2,58.38
22,9.77,20.68,76.8,57.31
24,11.35,22.51,77.4,56.08
26,13.04,24.48,79.0,54.7
28,14.85,26.59,81.9,53.14
30,16.8,28.86,86.4,51.38
32,18.91,31.31,93.0,48.82
34,21.18,33.95,102.8,45.39
36,23.65,36.82,117.7,41.57
38,26.34,39.94,141.8,37.26
40,29.26,43.34,180.0,32.5
